time,sensor.power_load_no_var_loads,sensor.power_photovoltaics
2025-06-03 05:30:00,444.6879189286047,46.73772727272728
2025-06-03 06:00:00,539.3229112041047,76.92848275862069
2025-06-03 06:30:00,530.8954216334781,142.533
2025-06-03 07:00:00,640.4406320370427,264.77323333333334
2025-06-03 07:30:00,652.3001354536796,214.46766666666664
2025-06-03 08:00:00,721.3997212928736,295.847
2025-06-03 08:30:00,598.9673067681928,282.1073214285714
2025-06-03 09:00:00,563.3117304933916,375.7238
2025-06-03 09:30:00,545.7816392421362,402.7773333333333
2025-06-03 10:00:00,711.1777675907715,325.37046666666663
2025-06-03 10:30:00,454.2290810853479,607.8698
2025-06-03 11:00:00,481.7854820478354,581.6997333333333
2025-06-03 11:30:00,431.5327974305636,589.6616
2025-06-03 12:00:00,501.1019729944006,503.8402
2025-06-03 12:30:00,363.58254769852715,533.6303333333333
2025-06-03 13:00:00,571.989267044727,725.7803
2025-06-03 13:30:00,620.2607727348275,579.8189
2025-06-03 14:00:00,518.3074861826724,726.1854999999999
2025-06-03 14:30:00,635.127643992915,743.9812666666668
2025-06-03 15:00:00,474.88859139698457,421.7889333333333
2025-06-03 15:30:00,509.46096594322887,460.1129655172414
2025-06-03 16:00:00,587.2396303149427,474.21206666666666
2025-06-03 16:30:00,640.4054766925876,245.55596428571428
2025-06-03 17:00:00,2005.2707872487208,112.28010344827588
2025-06-03 17:30:00,2156.7967691536746,87.75807692307693
2025-06-03 18:00:00,2073.2222579430613,24.47233333333333
2025-06-03 18:30:00,2206.341533580122,0.0
2025-06-03 19:00:00,1865.7123161250438,0.0
2025-06-03 19:30:00,2062.570831203298,0.0
2025-06-03 20:00:00,2045.4110125825355,0.0
2025-06-03 20:30:00,2063.3562283314877,0.0
2025-06-03 21:00:00,1957.8265920527142,0.0
2025-06-03 21:30:00,1918.11517958361,0.0
2025-06-03 22:00:00,1931.7931214559462,0.0
2025-06-03 22:30:00,1894.890899930245,0.0
2025-06-03 23:00:00,1883.8261305303295,0.0
2025-06-03 23:30:00,2136.490337992332,0.0
2025-06-04 00:00:00,580.8450921665774,0.0
2025-06-04 00:30:00,495.29474742505755,0.0
2025-06-04 01:00:00,392.20406589102845,0.0
2025-06-04 01:30:00,428.73569989897686,0.0
2025-06-04 02:00:00,603.3296203494433,0.0
2025-06-04 02:30:00,531.3134794713505,0.0
2025-06-04 03:00:00,611.0000911625827,0.0
2025-06-04 03:30:00,351.7371895131055,0.0
2025-06-04 04:00:00,297.2811361198318,0.0
2025-06-04 04:30:00,559.5757766573035,68.24392307692308
2025-06-04 05:00:00,364.82187771581096,173.2786551724138
2025-06-04 05:30:00,534.3648370878569,239.08159259259256
2025-06-04 06:00:00,528.6611446867984,322.83765517241375
2025-06-04 06:30:00,618.398807432864,497.12340000000006
2025-06-04 07:00:00,726.5685867245948,669.7308666666667
2025-06-04 07:30:00,551.6370018754914,737.9098333333333
2025-06-04 08:00:00,516.7689839747383,1432.6567333333332
2025-06-04 08:30:00,678.1376381554127,1226.4682
2025-06-04 09:00:00,478.99568644736104,1820.6714333333332
2025-06-04 09:30:00,530.0764452023543,1314.5658
2025-06-04 10:00:00,599.6581048524956,1401.564033333333
2025-06-04 10:30:00,377.2098853788511,1447.864551724138
2025-06-04 11:00:00,678.694786079211,1539.7175
2025-06-04 11:30:00,431.75096518262745,1367.4903333333334
2025-06-04 12:00:00,452.16047295850814,1808.5635
2025-06-04 12:30:00,723.0646131322397,2039.8834333333327
2025-06-04 13:00:00,609.8827966463697,1604.8300000000002
2025-06-04 13:30:00,732.4254143369435,1626.9029655172417
2025-06-04 14:00:00,510.8404484266132,2583.0139
2025-06-04 14:30:00,566.9437245454876,1946.4875
2025-06-04 15:00:00,648.1774978122518,2209.618033333333
2025-06-04 15:30:00,449.96506993992494,1765.7272666666663
2025-06-04 16:00:00,425.6901020160575,1979.8528
2025-06-04 16:30:00,473.4236191929788,1950.827633333333
2025-06-04 17:00:00,1859.3878016574072,1294.5948620689653
2025-06-04 17:30:00,2048.6872431427623,757.9735999999999
2025-06-04 18:00:00,1887.732921673,152.35872413793103
2025-06-04 18:30:00,2047.615239259401,66.30472413793103
2025-06-04 19:00:00,2033.0431008873206,28.141
2025-06-04 19:30:00,2046.6160796982585,0.0
2025-06-04 20:00:00,2045.682354169378,0.0
2025-06-04 20:30:00,2003.1736794849562,0.0
2025-06-04 21:00:00,2060.7698540497145,0.0
2025-06-04 21:30:00,1959.298044116776,0.0
2025-06-04 22:00:00,2012.7409155125013,0.0
2025-06-04 22:30:00,2026.4709464543396,0.0
2025-06-04 23:00:00,1951.7656930828537,0.0
2025-06-04 23:30:00,1914.3948384167707,0.0
2025-06-05 00:00:00,407.44457170521775,0.0
2025-06-05 00:30:00,431.45910685109686,0.0
2025-06-05 01:00:00,496.4612799662479,0.0
2025-06-05 01:30:00,428.2811191411058,0.0
2025-06-05 02:00:00,428.2378483172838,0.0
2025-06-05 02:30:00,362.84407578703076,0.0
2025-06-05 03:00:00,379.42778159452365,0.0
2025-06-05 03:30:00,252.17451710110512,0.0
2025-06-05 04:00:00,396.2380786160616,59.607600000000005
2025-06-05 04:30:00,429.4022418642525,115.49941176470588
2025-06-05 05:00:00,441.20152845207133,245.24132608695652
2025-06-05 05:30:00,379.508626631429,407.6690178571429
2025-06-05 06:00:00,580.9110967098521,328.4070238095238
2025-06-05 06:30:00,562.4392022299858,686.362
2025-06-05 07:00:00,696.373409371422,896.9451551724138
2025-06-05 07:30:00,493.66591457458105,1626.6040555555558
2025-06-05 08:00:00,528.2521466750632,2077.476442307692
2025-06-05 08:30:00,668.1142848420914,2460.075981818182
2025-06-05 09:00:00,626.991860543756,2869.5960377358488
2025-06-05 09:30:00,607.1137964952175,2893.2862807017545
2025-06-05 10:00:00,461.9515115215131,3623.232236363636
2025-06-05 10:30:00,376.4429195230536,3772.112327272728
2025-06-05 11:00:00,486.3934489123011,3555.819963636364
2025-06-05 11:30:00,543.5979432869377,2332.082083333333
2025-06-05 12:00:00,648.7375722585418,3494.030714285714
2025-06-05 12:30:00,426.95725886653906,3212.382928571428
2025-06-05 13:00:00,534.5807451114458,3755.780842105263
2025-06-05 13:30:00,492.67611853623026,3507.895603773585
2025-06-05 14:00:00,559.7675790537006,2070.889183333333
2025-06-05 14:30:00,717.0948070465056,2334.0738333333334
2025-06-05 15:00:00,636.4445544548153,2343.688589285714
2025-06-05 15:30:00,465.1753600292524,2371.865181818182
2025-06-05 16:00:00,483.389213123295,1979.956596491228
2025-06-05 16:30:00,472.2863094341871,1586.202290909091
2025-06-05 17:00:00,1962.4172654342688,1288.7023833333333
2025-06-05 17:30:00,1955.2295653889153,353.0313148148148
2025-06-05 18:00:00,2143.90728369148,145.8553921568627
2025-06-05 18:30:00,1985.4352202113635,80.3254761904762
2025-06-05 19:00:00,1945.5293775949785,33.70857142857143
2025-06-05 19:30:00,1921.2717477357455,0.0
2025-06-05 20:00:00,2093.219750497046,0.0
2025-06-05 20:30:00,1856.8285838267518,0.0
2025-06-05 21:00:00,1915.6160498734716,0.0
2025-06-05 21:30:00,1919.5552381999464,0.0
2025-06-05 22:00:00,1932.5662786614803,0.0
2025-06-05 22:30:00,1910.4219466652467,0.0
2025-06-05 23:00:00,2170.1746633925973,0.0
2025-06-05 23:30:00,2010.4690078476356,0.0
2025-06-06 00:00:00,486.76096948902415,0.0
2025-06-06 00:30:00,444.8215080644528,0.0
2025-06-06 01:00:00,442.16710383010377,0.0
2025-06-06 01:30:00,568.0342611189196,0.0
2025-06-06 02:00:00,254.5327270071931,0.0
2025-06-06 02:30:00,211.19131363084546,0.0
2025-06-06 03:00:00,252.98863778183147,0.0
2025-06-06 03:30:00,348.72912137628794,0.0
2025-06-06 04:00:00,391.3316043442051,107.06671428571428
2025-06-06 04:30:00,398.9391802711615,193.0485476190476
2025-06-06 05:00:00,440.0038226251172,285.5279318181818
2025-06-06 05:30:00,456.07188448859296,430.98951785714286
2025-06-06 06:00:00,702.6089143211628,511.2904716981132
2025-06-06 06:30:00,781.9829139389542,735.4199230769232
